Rk,Player,From,To,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST
230,Joe Kleine\kleinjo01,1989,1993,5,329,4833,589,1274,4,21,265,339,444,1378,170,85,77,218,566,1447,0.462,0.19,0.782,14.7,4.4,4.2,0.5
231,Billy Knight\knighbi01,1979,1979,1,40,1119,219,436,,,118,146,41,173,66,31,3,129,86,556,0.502,,0.808,28,13.9,4.3,1.7
232,Travis Knight\knightr01,1998,1998,1,74,1503,193,438,15,55,81,103,146,365,104,54,82,87,253,482,0.441,0.273,0.786,20.3,6.5,4.9,1.4
233,Bart Kofoed\kofoeba01,1993,1993,1,7,41,3,13,0,1,11,14,0,1,10,2,1,3,1,17,0.231,0,0.786,5.9,2.4,0.1,1.4
234,Harold Kottman\kottmha01,1947,1947,1,53,,59,188,,,47,101,,,17,,,,58,165,0.314,,0.465,,3.1,,0.3
235,Wayne Kreklow\kreklwa01,1981,1981,1,25,100,11,47,1,4,7,10,2,12,9,2,1,10,20,30,0.234,0.25,0.7,4,1.2,0.5,0.4
236,Nenad Krstić\krstine01,2011,2011,1,24,553,79,147,0,0,60,80,47,128,8,8,8,23,77,218,0.537,,0.75,23,9.1,5.3,0.3
237,Steve Kuberski\kuberst01,1970,1978,8,499,7295,1185,2829,,,559,731,259,1998,300,26,23,2,846,2929,0.419,,0.765,14.6,5.9,4,0.6
238,Frank Kudelka\kudelfr01,1951,1951,1,27,,54,150,,,20,27,,,30,,,,62,128,0.36,,0.741,,4.7,,1.1
239,Oliver Lafayette\lafayol01,2010,2010,1,1,22,3,6,1,2,0,0,1,4,2,0,0,1,0,7,0.5,0.5,,22,7,4,2
240,Raef LaFrentz\lafrera01,2004,2006,3,179,4557,636,1364,202,551,181,236,264,1038,237,79,184,146,582,1655,0.466,0.367,0.767,25.5,9.2,5.8,1.3
241,Marcus Landry\landrma01,2010,2010,1,1,3,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,,3,0,0,0
242,Romeo Langford\langfro01,2020,2020,1,27,298,24,64,5,23,16,23,14,32,6,8,6,9,29,69,0.375,0.217,0.696,11,2.6,1.2,0.2
243,Shane Larkin\larkish01,2018,2018,1,54,775,84,219,31,86,32,37,15,92,98,29,2,33,58,231,0.384,0.36,0.865,14.4,4.3,1.7,1.8
244,Tony Lavelli\lavelto01,1950,1950,1,56,,162,436,,,168,197,,,40,,,,107,492,0.372,,0.853,,8.8,,0.7
245,Courtney Lee\leeco01,2013,2014,2,108,2445,336,713,81,208,80,94,39,239,175,109,30,109,176,833,0.471,0.389,0.851,22.6,7.7,2.2,1.6
246,David Lee\leeda02,2016,2016,1,30,470,87,192,0,1,40,51,41,130,54,12,13,38,51,214,0.453,0,0.784,15.7,7.1,4.3,1.8
247,Ed Leede\leedeed01,1950,1951,2,121,,293,877,,,363,505,,118,225,,,,311,949,0.334,,0.719,,7.8,2.1,1.9
248,Reggie Lewis\lewisre01,1988,1993,6,450,14676,3198,6550,27,135,1479,1794,577,1938,1153,569,417,708,1268,7902,0.488,0.2,0.824,32.6,17.6,4.3,2.6
249,Todd Lichti\lichtto01,1994,1994,1,4,48,6,14,0,0,7,14,2,8,6,5,1,3,4,19,0.429,,0.5,12,4.8,2,1.5
250,Alton Lister\listeal01,1996,1997,2,110,1163,79,173,0,0,62,93,126,419,28,14,53,74,216,220,0.457,,0.667,10.6,2,3.8,0.3
251,Brad Lohaus\lohaubr01,1988,1989,2,118,1456,239,516,3,17,85,108,93,280,98,41,67,108,224,566,0.463,0.176,0.787,12.3,4.8,2.4,0.8
252,Grant Long\longgr01,2003,2003,1,41,488,27,70,0,3,18,23,24,83,25,9,1,19,62,72,0.386,0,0.783,11.9,1.8,2,0.6
253,Jim Loscutoff\loscuji01,1956,1964,9,511,9431,1333,3868,,,490,750,,2848,353,,,,1497,3156,0.345,,0.653,18.5,6.2,5.6,0.7
254,Clyde Lovellette\lovelcl01,1963,1964,2,106,1005,289,681,,,118,155,,303,51,,,,237,696,0.424,,0.761,9.5,6.6,2.9,0.5
