Rk,Player,From,To,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST
458,Grant Williams\willigr01,2020,2020,1,62,970,80,192,21,85,37,51,58,165,62,28,33,46,149,218,0.417,0.247,0.725,15.6,3.5,2.7,1
459,Lorenzo Williams\willilo01,1993,1993,1,22,151,16,31,0,0,2,7,13,44,5,4,14,6,23,34,0.516,,0.286,6.9,1.5,2,0.2
460,Ray Williams\willira01,1985,1985,1,23,459,55,143,6,23,31,46,16,57,90,30,5,42,56,147,0.385,0.261,0.674,20,6.4,2.5,3.9
461,Robert Williams\williro04,2019,2020,2,55,606,78,113,0,0,23,40,61,189,29,29,68,30,76,179,0.69,,0.575,11,3.3,3.4,0.5
462,Sean Williams\willise01,2012,2012,1,3,42,2,6,0,0,7,7,4,12,3,3,3,3,4,11,0.333,,1,14,3.7,4,1
463,Shammond Williams\willish01,2003,2003,1,51,1169,134,338,56,159,48,57,12,110,128,61,3,61,84,372,0.396,0.352,0.842,22.9,7.3,2.2,2.5
464,Shelden Williams\willish02,2010,2010,1,54,597,63,121,0,1,75,98,47,146,21,13,21,30,85,201,0.521,0,0.765,11.1,3.7,2.7,0.4
465,Sly Williams\willisl01,1986,1986,1,6,54,5,21,0,4,7,12,7,15,2,1,1,7,15,17,0.238,0,0.583,9,2.8,2.5,0.3
466,Terrence Williams\willite01,2013,2013,1,24,318,48,97,5,15,9,21,4,44,38,11,2,22,13,110,0.495,0.333,0.429,13.3,4.6,1.8,1.6
467,Willie Williams\williwi01,1971,1971,1,16,56,6,32,,,3,5,,10,2,,,,8,15,0.188,,0.6,3.5,0.9,0.6,0.1
468,Bobby Wilson\wilsobo03,1977,1977,1,25,131,19,59,,,11,13,3,9,14,3,0,,19,49,0.322,,0.846,5.2,2,0.4,0.6
469,Joe Wolf\wolfjo01,1993,1993,1,2,9,0,1,0,0,1,2,1,3,0,0,1,2,2,1,0,,0.5,4.5,0.5,1.5,0
470,Rubén Wolkowyski\wolkoru01,2003,2003,1,7,24,2,4,0,1,1,4,0,1,1,0,0,1,3,5,0.5,0,0.25,3.4,0.7,0.1,0.1
471,Brandan Wright\wrighbr03,2015,2015,1,8,86,12,21,0,0,2,4,7,17,8,1,5,5,4,26,0.571,,0.5,10.8,3.3,2.1,1
472,A.J. Wynder\wyndeaj01,1991,1991,1,6,39,3,12,0,1,6,8,1,3,8,1,0,4,1,12,0.25,0,0.75,6.5,2,0.5,1.3
473,Guerschon Yabusele\yabusgu01,2018,2019,2,74,486,61,138,21,65,30,44,40,105,31,12,12,27,55,173,0.442,0.323,0.682,6.6,2.3,1.4,0.4
474,James Young\youngja01,2015,2017,3,89,751,72,196,35,127,23,42,19,94,26,24,5,14,54,202,0.367,0.276,0.548,8.4,2.3,1.1,0.3
475,Tyler Zeller\zellety01,2015,2017,3,193,2966,556,1067,0,1,263,333,251,767,184,35,95,142,363,1375,0.521,0,0.79,15.4,7.1,4,1
